no,result,pdf_page,pdf_product_name,pdf_code,pdf_capacity,pdf_lot_text,pdf_quantity,pdf_line,db_page,db_lot_code,db_display_name,db_code,db_capacity,db_lot_text,db_quantity,db_line
11,??,3,安芸虎 純米吟醸,155,300,R7のみ北東計6063＝5面*2+4）*45+3,4883,155 300 R7のみ北東計6063＝5面*2+4）*45+3 4883,3,OPEN-20260701-155-0011,安芸虎 純米吟醸 300ml R7のみ北東計6063＝5面*2+4）*45+3,155,300,R7のみ北東計6063＝5面*2+4）*45+3,4883,155 300 R7のみ北東計6063＝5面*2+4）*45+3 4883
12,??,5,安芸虎 山田錦60% 純米,2281,1800,今固R3←ｽﾓｰｸ 山60 青P(29b計6,1,2281 1800 今固R3←ｽﾓｰｸ 山60 青P(29b計6 1,5,OPEN-20260701-2281-0012,安芸虎 山田錦60% 純米 1800ml 今固R3←ｽﾓｰｸ 山60 青P(29b計6,2281,1800,今固R3←ｽﾓｰｸ 山60 青P(29b計6,1,2281 1800 今固R3←ｽﾓｰｸ 山60 青P(29b計6 1
13,??,5,安芸虎 山田錦60% 純米,2281,1800,*固ｽﾓｰｸ/R4夏ｼﾌﾄ 6/11 （他山ｼﾌﾄ,2,2281 1800 *固ｽﾓｰｸ/R4夏ｼﾌﾄ 6/11 （他山ｼﾌﾄ 2,5,OPEN-20260701-2281-0013,安芸虎 山田錦60% 純米 1800ml *固ｽﾓｰｸ/R4夏ｼﾌﾄ 6/11 （他山ｼﾌﾄ,2281,1800,*固ｽﾓｰｸ/R4夏ｼﾌﾄ 6/11 （他山ｼﾌﾄ,2,2281 1800 *固ｽﾓｰｸ/R4夏ｼﾌﾄ 6/11 （他山ｼﾌﾄ 2
14,??,5,安芸虎 山田錦60% 純米,2283,720,R3本ｽﾓｰｸ.北西半.計41本 1/10 （2,17,2283 720 R3本ｽﾓｰｸ.北西半.計41本 1/10 （2 17,5,OPEN-20260701-2283-0014,安芸虎 山田錦60% 純米 720ml R3本ｽﾓｰｸ.北西半.計41本 1/10 （2,2283,720,R3本ｽﾓｰｸ.北西半.計41本 1/10 （2,17,2283 720 R3本ｽﾓｰｸ.北西半.計41本 1/10 （2 17
15,??,6,安芸虎 山田錦80% 純米,3101,1800,未R7北東計2109＝/381＝9面*7）*6+,2109,安芸虎 山田錦80% 純米 3101 1800 未R7北東計2109＝/381＝9面*7）*6+ 2109,6,OPEN-20260701-3101-0015,安芸虎 山田錦80% 純米 1800ml 未R7北東計2109＝/381＝9面*7）*6+,3101,1800,未R7北東計2109＝/381＝9面*7）*6+,2109,安芸虎 山田錦80% 純米 3101 1800 未R7北東計2109＝/381＝9面*7）*6+ 2109
16,??,6,安芸虎 山田錦80% 純米,3101,1800,R6北.計1486/北1440+外46 1/15 （,209,3101 1800 R6北.計1486/北1440+外46 1/15 （ 209,6,OPEN-20260701-3101-0016,安芸虎 山田錦80% 純米 1800ml R6北.計1486/北1440+外46 1/15 （,3101,1800,R6北.計1486/北1440+外46 1/15 （,209,3101 1800 R6北.計1486/北1440+外46 1/15 （ 209
17,??,6,安芸虎 山田錦80% 純米,3103,720,R7北東手前.計1100＝5面*（4*2+3）｝,1643,3103 720 R7北東手前.計1100＝5面*（4*2+3）｝ 1643,6,OPEN-20260701-3103-0017,安芸虎 山田錦80% 純米 720ml R7北東手前.計1100＝5面*（4*2+3）｝,3103,720,R7北東手前.計1100＝5面*（4*2+3）｝,1643,3103 720 R7北東手前.計1100＝5面*（4*2+3）｝ 1643
18,??,7,安芸虎 純米大吟醸 斗瓶取り,551,1800,北G①上.三種混載＜25ｂｙ＞1本のみ,1,安芸虎 純米大吟醸 斗瓶取り 551 1800 北G①上.三種混載＜25ｂｙ＞1本のみ 1,7,OPEN-20260701-551-0018,安芸虎 純米大吟醸 斗瓶取り 1800ml 北G①上.三種混載＜25ｂｙ＞1本のみ,551,1800,北G①上.三種混載＜25ｂｙ＞1本のみ,1,安芸虎 純米大吟醸 斗瓶取り 551 1800 北G①上.三種混載＜25ｂｙ＞1本のみ 1
19,??,7,安芸虎 純米大吟醸 斗瓶取り,551,1800,19ｂｙ北G左①下のはし.2本8/30青P,2,551 1800 19ｂｙ北G左①下のはし.2本8/30青P 2,7,OPEN-20260701-551-0019,安芸虎 純米大吟醸 斗瓶取り 1800ml 19ｂｙ北G左①下のはし.2本8/30青P,551,1800,19ｂｙ北G左①下のはし.2本8/30青P,2,551 1800 19ｂｙ北G左①下のはし.2本8/30青P 2
20,??,7,安芸虎 純米大吟醸 斗瓶取り,551,1800,北G①上のはし三種混載”26BY”1本/,1,551 1800 北G①上のはし三種混載”26BY”1本/ 1,7,OPEN-20260701-551-0020,安芸虎 純米大吟醸 斗瓶取り 1800ml 北G①上のはし三種混載”26BY”1本/,551,1800,北G①上のはし三種混載”26BY”1本/,1,551 1800 北G①上のはし三種混載”26BY”1本/ 1
